QID,title,titleSlug,difficulty,acceptanceRate,paidOnly,topicTags,categorySlug
103,Binary Tree Zigzag Level Order Traversal,binary-tree-zigzag-level-order-traversal,Medium,58.11055061113415,False,"tree,breadth-first-search,binary-tree",algorithms
104,Maximum Depth of Binary Tree,maximum-depth-of-binary-tree,Easy,74.68182951291864,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
105,Construct Binary Tree from Preorder and Inorder Traversal,construct-binary-tree-from-preorder-and-inorder-traversal,Medium,62.86088046030704,False,"array,hash-table,divide-and-conquer,tree,binary-tree",algorithms
106,Construct Binary Tree from Inorder and Postorder Traversal,construct-binary-tree-from-inorder-and-postorder-traversal,Medium,61.58499793747091,False,"array,hash-table,divide-and-conquer,tree,binary-tree",algorithms
107,Binary Tree Level Order Traversal II,binary-tree-level-order-traversal-ii,Medium,62.43613542304121,False,"tree,breadth-first-search,binary-tree",algorithms
108,Convert Sorted Array to Binary Search Tree,convert-sorted-array-to-binary-search-tree,Easy,70.87853700568799,False,"array,divide-and-conquer,tree,binary-search-tree,binary-tree",algorithms
109,Convert Sorted List to Binary Search Tree,convert-sorted-list-to-binary-search-tree,Medium,61.12465334600723,False,"linked-list,divide-and-conquer,tree,binary-search-tree,binary-tree",algorithms
110,Balanced Binary Tree,balanced-binary-tree,Easy,50.76648729205948,False,"tree,depth-first-search,binary-tree",algorithms
111,Minimum Depth of Binary Tree,minimum-depth-of-binary-tree,Easy,46.842820327810095,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
112,Path Sum,path-sum,Easy,49.34339647271507,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
113,Path Sum II,path-sum-ii,Medium,57.81804666073329,False,"backtracking,tree,depth-first-search,binary-tree",algorithms
114,Flatten Binary Tree to Linked List,flatten-binary-tree-to-linked-list,Medium,63.61597621327929,False,"linked-list,stack,tree,depth-first-search,binary-tree",algorithms
115,Distinct Subsequences,distinct-subsequences,Hard,45.6654967761515,False,"string,dynamic-programming",algorithms
116,Populating Next Right Pointers in Each Node,populating-next-right-pointers-in-each-node,Medium,61.712250468343974,False,"linked-list,tree,depth-first-search,breadth-first-search,binary-tree",algorithms
117,Populating Next Right Pointers in Each Node II,populating-next-right-pointers-in-each-node-ii,Medium,51.440847763516004,False,"linked-list,tree,depth-first-search,breadth-first-search,binary-tree",algorithms
118,Pascal's Triangle,pascals-triangle,Easy,73.2408718167063,False,"array,dynamic-programming",algorithms
119,Pascal's Triangle II,pascals-triangle-ii,Easy,63.302247848897395,False,"array,dynamic-programming",algorithms
120,Triangle,triangle,Medium,55.779098912480585,False,"array,dynamic-programming",algorithms
121,Best Time to Buy and Sell Stock,best-time-to-buy-and-sell-stock,Easy,53.47466966066694,False,"array,dynamic-programming",algorithms
122,Best Time to Buy and Sell Stock II,best-time-to-buy-and-sell-stock-ii,Medium,65.30381500342382,False,"array,dynamic-programming,greedy",algorithms
123,Best Time to Buy and Sell Stock III,best-time-to-buy-and-sell-stock-iii,Hard,47.054058685165664,False,"array,dynamic-programming",algorithms
124,Binary Tree Maximum Path Sum,binary-tree-maximum-path-sum,Hard,39.62930791326114,False,"dynamic-programming,tree,depth-first-search,binary-tree",algorithms
125,Valid Palindrome,valid-palindrome,Easy,46.05471526672286,False,"two-pointers,string",algorithms
126,Word Ladder II,word-ladder-ii,Hard,27.323973548501513,False,"hash-table,string,backtracking,breadth-first-search",algorithms
127,Word Ladder,word-ladder,Hard,38.23754491146096,False,"hash-table,string,breadth-first-search",algorithms
128,Longest Consecutive Sequence,longest-consecutive-sequence,Medium,47.40424321033406,False,"array,hash-table,union-find",algorithms
129,Sum Root to Leaf Numbers,sum-root-to-leaf-numbers,Medium,62.33442388228006,False,"tree,depth-first-search,binary-tree",algorithms
130,Surrounded Regions,surrounded-regions,Medium,38.31126479015591,False,"array,depth-first-search,breadth-first-search,union-find,matrix",algorithms
131,Palindrome Partitioning,palindrome-partitioning,Medium,66.47257054877296,False,"string,dynamic-programming,backtracking",algorithms
132,Palindrome Partitioning II,palindrome-partitioning-ii,Hard,33.62034248099937,False,"string,dynamic-programming",algorithms
133,Clone Graph,clone-graph,Medium,55.340341940144114,False,"hash-table,depth-first-search,breadth-first-search,graph",algorithms
134,Gas Station,gas-station,Medium,45.74326157742402,False,"array,greedy",algorithms
135,Candy,candy,Hard,43.23754616343766,False,"array,greedy",algorithms
136,Single Number,single-number,Easy,71.81885728215856,False,"array,bit-manipulation",algorithms
137,Single Number II,single-number-ii,Medium,61.749852760204625,False,"array,bit-manipulation",algorithms
138,Copy List with Random Pointer,copy-list-with-random-pointer,Medium,54.517517859524226,False,"hash-table,linked-list",algorithms
139,Word Break,word-break,Medium,46.32557471508167,False,"array,hash-table,string,dynamic-programming,trie,memoization",algorithms
140,Word Break II,word-break-ii,Hard,46.68573842945919,False,"array,hash-table,string,dynamic-programming,backtracking,trie,memoization",algorithms
141,Linked List Cycle,linked-list-cycle,Easy,49.00994658499258,False,"hash-table,linked-list,two-pointers",algorithms
142,Linked List Cycle II,linked-list-cycle-ii,Medium,50.22976804470534,False,"hash-table,linked-list,two-pointers",algorithms
143,Reorder List,reorder-list,Medium,54.9217966649423,False,"linked-list,two-pointers,stack,recursion",algorithms
144,Binary Tree Preorder Traversal,binary-tree-preorder-traversal,Easy,68.43855965205172,False,"stack,tree,depth-first-search,binary-tree",algorithms
145,Binary Tree Postorder Traversal,binary-tree-postorder-traversal,Easy,69.77841266867541,False,"stack,tree,depth-first-search,binary-tree",algorithms
146,LRU Cache,lru-cache,Medium,41.80099475098166,False,"hash-table,linked-list,design,doubly-linked-list",algorithms
147,Insertion Sort List,insertion-sort-list,Medium,52.35462751032265,False,"linked-list,sorting",algorithms
148,Sort List,sort-list,Medium,56.6639264616929,False,"linked-list,two-pointers,divide-and-conquer,sorting,merge-sort",algorithms
149,Max Points on a Line,max-points-on-a-line,Hard,25.966740935037357,False,"array,hash-table,math,geometry",algorithms
150,Evaluate Reverse Polish Notation,evaluate-reverse-polish-notation,Medium,48.04789752493709,False,"array,math,stack",algorithms
151,Reverse Words in a String,reverse-words-in-a-string,Medium,38.04232918726917,False,"two-pointers,string",algorithms
152,Maximum Product Subarray,maximum-product-subarray,Medium,34.84176043911152,False,"array,dynamic-programming",algorithms
153,Find Minimum in Rotated Sorted Array,find-minimum-in-rotated-sorted-array,Medium,49.654430848611376,False,"array,binary-search",algorithms
154,Find Minimum in Rotated Sorted Array II,find-minimum-in-rotated-sorted-array-ii,Hard,43.505554082631726,False,"array,binary-search",algorithms
155,Min Stack,min-stack,Medium,53.26417580168587,False,"stack,design",algorithms
156,Binary Tree Upside Down,binary-tree-upside-down,Medium,62.343370231843544,True,"tree,depth-first-search,binary-tree",algorithms
157,Read N Characters Given Read4,read-n-characters-given-read4,Easy,41.24170590753425,True,"array,simulation,interactive",algorithms
158,Read N Characters Given read4 II - Call Multiple Times,read-n-characters-given-read4-ii-call-multiple-times,Hard,41.93716897287598,True,"array,simulation,interactive",algorithms
159,Longest Substring with At Most Two Distinct Characters,longest-substring-with-at-most-two-distinct-characters,Medium,54.28334778619527,True,"hash-table,string,sliding-window",algorithms
160,Intersection of Two Linked Lists,intersection-of-two-linked-lists,Easy,56.19426340562859,False,"hash-table,linked-list,two-pointers",algorithms
161,One Edit Distance,one-edit-distance,Medium,34.229217993391984,True,"two-pointers,string",algorithms
162,Find Peak Element,find-peak-element,Medium,45.811111262934546,False,"array,binary-search",algorithms
163,Missing Ranges,missing-ranges,Easy,32.84628410445664,True,array,algorithms
164,Maximum Gap,maximum-gap,Medium,44.6179804447521,False,"array,sorting,bucket-sort,radix-sort",algorithms
165,Compare Version Numbers,compare-version-numbers,Medium,36.386244074617366,False,"two-pointers,string",algorithms
166,Fraction to Recurring Decimal,fraction-to-recurring-decimal,Medium,24.620528472929813,False,"hash-table,math,string",algorithms
167,Two Sum II - Input Array Is Sorted,two-sum-ii-input-array-is-sorted,Medium,60.48537383141437,False,"array,two-pointers,binary-search",algorithms
168,Excel Sheet Column Title,excel-sheet-column-title,Easy,39.67964509283254,False,"math,string",algorithms
169,Majority Element,majority-element,Easy,63.863875178323134,False,"array,hash-table,divide-and-conquer,sorting,counting",algorithms
170,Two Sum III - Data structure design,two-sum-iii-data-structure-design,Easy,37.7835218588368,True,"array,hash-table,two-pointers,design,data-stream",algorithms
171,Excel Sheet Column Number,excel-sheet-column-number,Easy,63.02998347645248,False,"math,string",algorithms
172,Factorial Trailing Zeroes,factorial-trailing-zeroes,Medium,42.84944170400046,False,math,algorithms
173,Binary Search Tree Iterator,binary-search-tree-iterator,Medium,70.97634131767666,False,"stack,tree,design,binary-search-tree,binary-tree,iterator",algorithms
174,Dungeon Game,dungeon-game,Hard,37.72741115937615,False,"array,dynamic-programming,matrix",algorithms
175,Combine Two Tables,combine-two-tables,Easy,75.0586096879055,False,database,database
176,Second Highest Salary,second-highest-salary,Medium,39.18183938492377,False,database,database
177,Nth Highest Salary,nth-highest-salary,Medium,38.12176493543808,False,database,database
178,Rank Scores,rank-scores,Medium,61.31482867715601,False,database,database
179,Largest Number,largest-number,Medium,35.405127448690685,False,"array,string,greedy,sorting",algorithms
180,Consecutive Numbers,consecutive-numbers,Medium,46.786804653609124,False,database,database
181,Employees Earning More Than Their Managers,employees-earning-more-than-their-managers,Easy,68.86567604778394,False,database,database
182,Duplicate Emails,duplicate-emails,Easy,70.70143171408995,False,database,database
183,Customers Who Never Order,customers-who-never-order,Easy,68.6168176238969,False,database,database
184,Department Highest Salary,department-highest-salary,Medium,50.724955869048216,False,database,database
185,Department Top Three Salaries,department-top-three-salaries,Hard,51.303389320376965,False,database,database
186,Reverse Words in a String II,reverse-words-in-a-string-ii,Medium,53.70639001422644,True,"two-pointers,string",algorithms
187,Repeated DNA Sequences,repeated-dna-sequences,Medium,47.97561702577711,False,"hash-table,string,bit-manipulation,sliding-window,rolling-hash,hash-function",algorithms
188,Best Time to Buy and Sell Stock IV,best-time-to-buy-and-sell-stock-iv,Hard,41.31537549702441,False,"array,dynamic-programming",algorithms
189,Rotate Array,rotate-array,Medium,39.95830825238944,False,"array,math,two-pointers",algorithms
190,Reverse Bits,reverse-bits,Easy,56.562708712144214,False,"divide-and-conquer,bit-manipulation",algorithms
191,Number of 1 Bits,number-of-1-bits,Easy,68.64592268412392,False,"divide-and-conquer,bit-manipulation",algorithms
192,Word Frequency,word-frequency,Medium,25.44319668556476,False,shell,shell
193,Valid Phone Numbers,valid-phone-numbers,Easy,25.658787768960128,False,shell,shell
194,Transpose File,transpose-file,Medium,25.567343884131983,False,shell,shell
195,Tenth Line,tenth-line,Easy,32.918036588859636,False,shell,shell
196,Delete Duplicate Emails,delete-duplicate-emails,Easy,61.05933221557144,False,database,database
197,Rising Temperature,rising-temperature,Easy,45.98510224753478,False,database,database
198,House Robber,house-robber,Medium,50.07360755331518,False,"array,dynamic-programming",algorithms
199,Binary Tree Right Side View,binary-tree-right-side-view,Medium,62.44395942476816,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
200,Number of Islands,number-of-islands,Medium,58.03423536427532,False,"array,depth-first-search,breadth-first-search,union-find,matrix",algorithms
201,Bitwise AND of Numbers Range,bitwise-and-of-numbers-range,Medium,42.78889358017917,False,bit-manipulation,algorithms
202,Happy Number,happy-number,Easy,55.46595942660383,False,"hash-table,math,two-pointers",algorithms
203,Remove Linked List Elements,remove-linked-list-elements,Easy,47.55664150295284,False,"linked-list,recursion",algorithms
204,Count Primes,count-primes,Medium,33.377081900672586,False,"array,math,enumeration,number-theory",algorithms
205,Isomorphic Strings,isomorphic-strings,Easy,43.311947604615355,False,"hash-table,string",algorithms
206,Reverse Linked List,reverse-linked-list,Easy,75.0282931942412,False,"linked-list,recursion",algorithms
207,Course Schedule,course-schedule,Medium,46.291465790314426,False,"depth-first-search,breadth-first-search,graph,topological-sort",algorithms
208,Implement Trie (Prefix Tree),implement-trie-prefix-tree,Medium,64.09806001533711,False,"hash-table,string,design,trie",algorithms
209,Minimum Size Subarray Sum,minimum-size-subarray-sum,Medium,46.537292869814664,False,"array,binary-search,sliding-window,prefix-sum",algorithms
210,Course Schedule II,course-schedule-ii,Medium,49.55010355230849,False,"depth-first-search,breadth-first-search,graph,topological-sort",algorithms
211,Design Add and Search Words Data Structure,design-add-and-search-words-data-structure,Medium,44.562319891674605,False,"string,depth-first-search,design,trie",algorithms
212,Word Search II,word-search-ii,Hard,36.141505691924046,False,"array,string,backtracking,trie,matrix",algorithms
213,House Robber II,house-robber-ii,Medium,41.592230216727174,False,"array,dynamic-programming",algorithms
214,Shortest Palindrome,shortest-palindrome,Hard,32.780950438507034,False,"string,rolling-hash,string-matching,hash-function",algorithms
215,Kth Largest Element in an Array,kth-largest-element-in-an-array,Medium,66.9876172929993,False,"array,divide-and-conquer,sorting,heap-priority-queue,quickselect",algorithms
216,Combination Sum III,combination-sum-iii,Medium,68.78977411565437,False,"array,backtracking",algorithms
217,Contains Duplicate,contains-duplicate,Easy,61.112766678444494,False,"array,hash-table,sorting",algorithms
218,The Skyline Problem,the-skyline-problem,Hard,42.309264711962044,False,"array,divide-and-conquer,binary-indexed-tree,segment-tree,line-sweep,heap-priority-queue,ordered-set",algorithms
219,Contains Duplicate II,contains-duplicate-ii,Easy,43.844917315242384,False,"array,hash-table,sliding-window",algorithms
220,Contains Duplicate III,contains-duplicate-iii,Hard,22.491016307131986,False,"array,sliding-window,sorting,bucket-sort,ordered-set",algorithms
221,Maximal Square,maximal-square,Medium,45.87451885618597,False,"array,dynamic-programming,matrix",algorithms
222,Count Complete Tree Nodes,count-complete-tree-nodes,Easy,63.15529253731042,False,"binary-search,bit-manipulation,tree,binary-tree",algorithms
223,Rectangle Area,rectangle-area,Medium,45.58565018523951,False,"math,geometry",algorithms
224,Basic Calculator,basic-calculator,Hard,42.79499062722044,False,"math,string,stack,recursion",algorithms
225,Implement Stack using Queues,implement-stack-using-queues,Easy,62.50584588037371,False,"stack,design,queue",algorithms
226,Invert Binary Tree,invert-binary-tree,Easy,76.02400000675058,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
227,Basic Calculator II,basic-calculator-ii,Medium,42.87879695368327,False,"math,string,stack",algorithms
228,Summary Ranges,summary-ranges,Easy,49.753980070773,False,array,algorithms
229,Majority Element II,majority-element-ii,Medium,50.454894860012644,False,"array,hash-table,sorting,counting",algorithms
230,Kth Smallest Element in a BST,kth-smallest-element-in-a-bst,Medium,71.53660283566724,False,"tree,depth-first-search,binary-search-tree,binary-tree",algorithms
231,Power of Two,power-of-two,Easy,46.43522368464299,False,"math,bit-manipulation,recursion",algorithms
232,Implement Queue using Stacks,implement-queue-using-stacks,Easy,64.15345653498346,False,"stack,design,queue",algorithms
233,Number of Digit One,number-of-digit-one,Hard,34.251596217570516,False,"math,dynamic-programming,recursion",algorithms
234,Palindrome Linked List,palindrome-linked-list,Easy,51.218065610441066,False,"linked-list,two-pointers,stack,recursion",algorithms
235,Lowest Common Ancestor of a Binary Search Tree,lowest-common-ancestor-of-a-binary-search-tree,Medium,63.42546122247336,False,"tree,depth-first-search,binary-search-tree,binary-tree",algorithms
236,Lowest Common Ancestor of a Binary Tree,lowest-common-ancestor-of-a-binary-tree,Medium,60.72758918311414,False,"tree,depth-first-search,binary-tree",algorithms
237,Delete Node in a Linked List,delete-node-in-a-linked-list,Medium,77.4875160082995,False,linked-list,algorithms
238,Product of Array Except Self,product-of-array-except-self,Medium,65.07631275827788,False,"array,prefix-sum",algorithms
239,Sliding Window Maximum,sliding-window-maximum,Hard,46.431622596953034,False,"array,queue,sliding-window,heap-priority-queue,monotonic-queue",algorithms
240,Search a 2D Matrix II,search-a-2d-matrix-ii,Medium,51.88346805728763,False,"array,binary-search,divide-and-conquer,matrix",algorithms
241,Different Ways to Add Parentheses,different-ways-to-add-parentheses,Medium,64.82517482517483,False,"math,string,dynamic-programming,recursion,memoization",algorithms
242,Valid Anagram,valid-anagram,Easy,63.43952419526093,False,"hash-table,string,sorting",algorithms
243,Shortest Word Distance,shortest-word-distance,Easy,65.14833041749003,True,"array,string",algorithms
244,Shortest Word Distance II,shortest-word-distance-ii,Medium,61.01462746440976,True,"array,hash-table,two-pointers,string,design",algorithms
245,Shortest Word Distance III,shortest-word-distance-iii,Medium,58.244918411363585,True,"array,string",algorithms
246,Strobogrammatic Number,strobogrammatic-number,Easy,47.647123490577506,True,"hash-table,two-pointers,string",algorithms
247,Strobogrammatic Number II,strobogrammatic-number-ii,Medium,51.7932971587735,True,"array,string,recursion",algorithms
248,Strobogrammatic Number III,strobogrammatic-number-iii,Hard,42.01280194365276,True,"array,string,recursion",algorithms
249,Group Shifted Strings,group-shifted-strings,Medium,64.75533976951891,True,"array,hash-table,string",algorithms
250,Count Univalue Subtrees,count-univalue-subtrees,Medium,56.08883178856566,True,"tree,depth-first-search,binary-tree",algorithms
251,Flatten 2D Vector,flatten-2d-vector,Medium,49.32181945978512,True,"array,two-pointers,design,iterator",algorithms
252,Meeting Rooms,meeting-rooms,Easy,57.657913080254694,True,"array,sorting",algorithms
253,Meeting Rooms II,meeting-rooms-ii,Medium,50.84647901338912,True,"array,two-pointers,greedy,sorting,heap-priority-queue,prefix-sum",algorithms
