problem_name,bug_path,correct_path,debugged_path,bug_type,ngram_match,weighted_ngram_match,syntax_match,dataflow_match,codebleu_bug,codebleu_debugged,difference
Count Fertile Pyramids in a Land,../data/formatted/buggy_codes_GPT/Count Fertile Pyramids in a Land.java,../data/formatted/correct_codes/Count Fertile Pyramids in a Land.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Count Fertile Pyramids in a Land.java,Count Fertile Pyramids in a Land,,,,,0.9352891444335661,0.9397745852047661,0.0044854407711999444
Count Good Meals,../data/formatted/buggy_codes_GPT/Count Good Meals.java,../data/formatted/correct_codes/Count Good Meals.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Count Good Meals.java,Count Good Meals,,,,,0.8841442097431053,0.8816806039200369,-0.002463605823068371
Count Good Numbers,../data/formatted/buggy_codes_GPT/Count Good Numbers.java,../data/formatted/correct_codes/Count Good Numbers.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Count Good Numbers.java,Count Good Numbers,,,,,0.8440185155855731,0.724516954510236,-0.11950156107533705
Count Hills and Valleys in an Array,../data/formatted/buggy_codes_GPT/Count Hills and Valleys in an Array.java,../data/formatted/correct_codes/Count Hills and Valleys in an Array.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Count Hills and Valleys in an Array.java,Count Hills and Valleys in an Array,,,,,0.8929418111865216,0.9230467820239834,0.030104970837461775
Count Number of Maximum BitwiseOR Subsets,../data/formatted/buggy_codes_GPT/Count Number of Maximum BitwiseOR Subsets.java,../data/formatted/correct_codes/Count Number of Maximum BitwiseOR Subsets.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Count Number of Maximum BitwiseOR Subsets.java,Count Number of Maximum BitwiseOR Subsets,,,,,0.8539859902632116,0.10295667435714834,-0.7510293159060633
Count Number of Special Subsequences,../data/formatted/buggy_codes_GPT/Count Number of Special Subsequences.java,../data/formatted/correct_codes/Count Number of Special Subsequences.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Count Number of Special Subsequences.java,Count Number of Special Subsequences,,,,,0.9642447667842157,0.9642447667842157,0.0
Count of Range Sum,../data/formatted/buggy_codes_GPT/Count of Range Sum.java,../data/formatted/correct_codes/Count of Range Sum.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Count of Range Sum.java,Count of Range Sum,,,,,0.9460902361920828,0.9284568700008416,-0.017633366191241118
Count Primes,../data/formatted/buggy_codes_GPT/Count Primes.java,../data/formatted/correct_codes/Count Primes.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Count Primes.java,Count Primes,,,,,0.8749329798366456,0.9101099853608563,0.03517700552421066
Count Subarrays With Median K,../data/formatted/buggy_codes_GPT/Count Subarrays With Median K.java,../data/formatted/correct_codes/Count Subarrays With Median K.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Count Subarrays With Median K.java,Count Subarrays With Median K,,,,,0.9131681449389659,0.9131681449389659,0.0
Cousins in Binary Tree,../data/formatted/buggy_codes_GPT/Cousins in Binary Tree.java,../data/formatted/correct_codes/Cousins in Binary Tree.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Cousins in Binary Tree.java,Cousins in Binary Tree,,,,,0.911368363007739,0.9192138028454506,0.007845439837711576
Cracking the Safe,../data/formatted/buggy_codes_GPT/Cracking the Safe.java,../data/formatted/correct_codes/Cracking the Safe.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Cracking the Safe.java,Cracking the Safe,,,,,0.9025839652002835,0.9068732336774518,0.004289268477168262
Create Sorted Array through Instructions,../data/formatted/buggy_codes_GPT/Create Sorted Array through Instructions.java,../data/formatted/correct_codes/Create Sorted Array through Instructions.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Create Sorted Array through Instructions.java,Create Sorted Array through Instructions,,,,,0.9139713420280218,0.0582050760543982,-0.8557662659736236
Cut Off Trees for Golf Event,../data/formatted/buggy_codes_GPT/Cut Off Trees for Golf Event.java,../data/formatted/correct_codes/Cut Off Trees for Golf Event.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Cut Off Trees for Golf Event.java,Cut Off Trees for Golf Event,,,,,0.9567796987536051,0.0006765458383123471,-0.9561031529152928
Decode XORed Permutation,../data/formatted/buggy_codes_GPT/Decode XORed Permutation.java,../data/formatted/correct_codes/Decode XORed Permutation.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Decode XORed Permutation.java,Decode XORed Permutation,,,,,0.9329309021548422,0.8960951364620474,-0.036835765692794786
Delete and Earn,../data/formatted/buggy_codes_GPT/Delete and Earn.java,../data/formatted/correct_codes/Delete and Earn.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Delete and Earn.java,Delete and Earn,,,,,0.9078103175347437,0.9078103175347437,0.0
Design a Food Rating System,../data/formatted/buggy_codes_GPT/Design a Food Rating System.java,../data/formatted/correct_codes/Design a Food Rating System.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Design a Food Rating System.java,Design a Food Rating System,,,,,0.8985696774603293,0.8985696774603293,0.0
Design Add and Search Words Data Structure,../data/formatted/buggy_codes_GPT/Design Add and Search Words Data Structure.java,../data/formatted/correct_codes/Design Add and Search Words Data Structure.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Design Add and Search Words Data Structure.java,Design Add and Search Words Data Structure,,,,,0.687375737877947,0.6893153521252953,0.0019396142473482314
Design Linked List,../data/formatted/buggy_codes_GPT/Design Linked List.java,../data/formatted/correct_codes/Design Linked List.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Design Linked List.java,Design Linked List,,,,,0.7935434869046367,0.7856644288999339,-0.007879058004702788
Design Skiplist,../data/formatted/buggy_codes_GPT/Design Skiplist.java,../data/formatted/correct_codes/Design Skiplist.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Design Skiplist.java,Design Skiplist,,,,,0.031511652807502226,0.12526722766425297,0.09375557485675073
DI String Match,../data/formatted/buggy_codes_GPT/DI String Match.java,../data/formatted/correct_codes/DI String Match.java,../data/formatted/debugged_GPTBuggyCodes_f_c/DI String Match.java,DI String Match,,,,,0.8988333353140701,0.9065092916133731,0.007675956299303066
Display Table of Food Orders in a Restaurant,../data/formatted/buggy_codes_GPT/Display Table of Food Orders in a Restaurant.java,../data/formatted/correct_codes/Display Table of Food Orders in a Restaurant.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Display Table of Food Orders in a Restaurant.java,Display Table of Food Orders in a Restaurant,,,,,0.8857816750958428,0.2883047178021978,-0.597476957293645
Distinct Subsequences II,../data/formatted/buggy_codes_GPT/Distinct Subsequences II.java,../data/formatted/correct_codes/Distinct Subsequences II.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Distinct Subsequences II.java,Distinct Subsequences II,,,,,0.9602111756436318,0.9694424204020602,0.009231244758428403
Divide a String Into Groups of Size k,../data/formatted/buggy_codes_GPT/Divide a String Into Groups of Size k.java,../data/formatted/correct_codes/Divide a String Into Groups of Size k.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Divide a String Into Groups of Size k.java,Divide a String Into Groups of Size k,,,,,0.9213715331893124,0.8621930533973561,-0.05917847979195634
Employee Importance,../data/formatted/buggy_codes_GPT/Employee Importance.java,../data/formatted/correct_codes/Employee Importance.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Employee Importance.java,Employee Importance,,,,,0.8877120894839065,0.9119002419852827,0.024188152501376292
Escape the Spreading Fire,../data/formatted/buggy_codes_GPT/Escape the Spreading Fire.java,../data/formatted/correct_codes/Escape the Spreading Fire.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Escape the Spreading Fire.java,Escape the Spreading Fire,,,,,0.8843091574735595,0.08644627547691489,-0.7978628819966447
Evaluate Division,../data/formatted/buggy_codes_GPT/Evaluate Division.java,../data/formatted/correct_codes/Evaluate Division.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Evaluate Division.java,Evaluate Division,,,,,0.9201930557363913,0.8031107172499996,-0.11708233848639171
Find a Corresponding Node of a Binary Tree in a Clone of That Tree,../data/formatted/buggy_codes_GPT/Find a Corresponding Node of a Binary Tree in a Clone of That Tree.java,../data/formatted/correct_codes/Find a Corresponding Node of a Binary Tree in a Clone of That Tree.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Find a Corresponding Node of a Binary Tree in a Clone of That Tree.java,Find a Corresponding Node of a Binary Tree in a Clone of That Tree,,,,,0.007933369601765767,0.008918111738024611,0.0009847421362588447
Find All People With Secret,../data/formatted/buggy_codes_GPT/Find All People With Secret.java,../data/formatted/correct_codes/Find All People With Secret.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Find All People With Secret.java,Find All People With Secret,,,,,0.9174949744775001,0.7151600184514659,-0.20233495602603413
Find Duplicate Subtrees,../data/formatted/buggy_codes_GPT/Find Duplicate Subtrees.java,../data/formatted/correct_codes/Find Duplicate Subtrees.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Find Duplicate Subtrees.java,Find Duplicate Subtrees,,,,,0.011904761904761904,0.056679491074940955,0.04477472917017905
Find Elements in a Contaminated Binary Tree,../data/formatted/buggy_codes_GPT/Find Elements in a Contaminated Binary Tree.java,../data/formatted/correct_codes/Find Elements in a Contaminated Binary Tree.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Find Elements in a Contaminated Binary Tree.java,Find Elements in a Contaminated Binary Tree,,,,,0.8912595290957508,0.5756281417126872,-0.3156313873830636
Find in Mountain Array,../data/formatted/buggy_codes_GPT/Find in Mountain Array.java,../data/formatted/correct_codes/Find in Mountain Array.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Find in Mountain Array.java,Find in Mountain Array,,,,,0.9290174750659681,0.8154875214991051,-0.11352995356686302
Find Latest Group of Size M,../data/formatted/buggy_codes_GPT/Find Latest Group of Size M.java,../data/formatted/correct_codes/Find Latest Group of Size M.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Find Latest Group of Size M.java,Find Latest Group of Size M,,,,,0.907895486374851,0.7264327617454585,-0.1814627246293925
Find the Closest Palindrome,../data/formatted/buggy_codes_GPT/Find the Closest Palindrome.java,../data/formatted/correct_codes/Find the Closest Palindrome.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Find the Closest Palindrome.java,Find the Closest Palindrome,,,,,0.9426609803996856,0.7976034037787734,-0.14505757662091223
Find the Difference,../data/formatted/buggy_codes_GPT/Find the Difference.java,../data/formatted/correct_codes/Find the Difference.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Find the Difference.java,Find the Difference,,,,,0.9062575293469866,0.940094017318318,0.03383648797133143
Find the Shortest Superstring,../data/formatted/buggy_codes_GPT/Find the Shortest Superstring.java,../data/formatted/correct_codes/Find the Shortest Superstring.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Find the Shortest Superstring.java,Find the Shortest Superstring,,,,,0.9506531894519401,0.9451090451573017,-0.005544144294638453
Find the Value of the Partition,../data/formatted/buggy_codes_GPT/Find the Value of the Partition.java,../data/formatted/correct_codes/Find the Value of the Partition.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Find the Value of the Partition.java,Find the Value of the Partition,,,,,0.8928451324170175,0.933669390830353,0.04082425841333559
Find XOR Sum of All Pairs Bitwise AND,../data/formatted/buggy_codes_GPT/Find XOR Sum of All Pairs Bitwise AND.java,../data/formatted/correct_codes/Find XOR Sum of All Pairs Bitwise AND.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Find XOR Sum of All Pairs Bitwise AND.java,Find XOR Sum of All Pairs Bitwise AND,,,,,0.8711218547048385,0.5870665913467406,-0.28405526335809794
Finding the Users Active Minutes,../data/formatted/buggy_codes_GPT/Finding the Users Active Minutes.java,../data/formatted/correct_codes/Finding the Users Active Minutes.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Finding the Users Active Minutes.java,Finding the Users Active Minutes,,,,,0.8763915608379945,0.8960530439784498,0.019661483140455238
Flower Planting With No Adjacent,../data/formatted/buggy_codes_GPT/Flower Planting With No Adjacent.java,../data/formatted/correct_codes/Flower Planting With No Adjacent.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Flower Planting With No Adjacent.java,Flower Planting With No Adjacent,,,,,0.9306926728588777,0.7286278147608294,-0.2020648580980483
Four Divisors,../data/formatted/buggy_codes_GPT/Four Divisors.java,../data/formatted/correct_codes/Four Divisors.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Four Divisors.java,Four Divisors,,,,,0.862224330644187,0.9025108208158776,0.040286490171690614
Fraction Addition and Subtraction,../data/formatted/buggy_codes_GPT/Fraction Addition and Subtraction.java,../data/formatted/correct_codes/Fraction Addition and Subtraction.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Fraction Addition and Subtraction.java,Fraction Addition and Subtraction,,,,,0.9469493810598628,0.14455005242385233,-0.8023993286360105
Game of Life,../data/formatted/buggy_codes_GPT/Game of Life.java,../data/formatted/correct_codes/Game of Life.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Game of Life.java,Game of Life,,,,,0.4770559892636279,0.6137950919229596,0.13673910265933165
Get Biggest Three Rhombus Sums in a Grid,../data/formatted/buggy_codes_GPT/Get Biggest Three Rhombus Sums in a Grid.java,../data/formatted/correct_codes/Get Biggest Three Rhombus Sums in a Grid.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Get Biggest Three Rhombus Sums in a Grid.java,Get Biggest Three Rhombus Sums in a Grid,,,,,0.9400559157019256,0.13901394758584878,-0.8010419681160768
Get the Maximum Score,../data/formatted/buggy_codes_GPT/Get the Maximum Score.java,../data/formatted/correct_codes/Get the Maximum Score.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Get the Maximum Score.java,Get the Maximum Score,,,,,0.9181356883910959,0.7251268936518388,-0.19300879473925714
Greatest English Letter in Upper and Lower Case,../data/formatted/buggy_codes_GPT/Greatest English Letter in Upper and Lower Case.java,../data/formatted/correct_codes/Greatest English Letter in Upper and Lower Case.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Greatest English Letter in Upper and Lower Case.java,Greatest English Letter in Upper and Lower Case,,,,,0.904728325245943,0.904728325245943,0.0
Guess Number Higher or Lower,../data/formatted/buggy_codes_GPT/Guess Number Higher or Lower.java,../data/formatted/correct_codes/Guess Number Higher or Lower.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Guess Number Higher or Lower.java,Guess Number Higher or Lower,,,,,0.8863658306178158,0.9378405273665902,0.05147469674877436
H-Index,../data/formatted/buggy_codes_GPT/H-Index.java,../data/formatted/correct_codes/H-Index.java,../data/formatted/debugged_GPTBuggyCodes_f_c/H-Index.java,H-Index,,,,,0.8620800227247292,0.9045860158436486,0.04250599311891945
House Robber II,../data/formatted/buggy_codes_GPT/House Robber II.java,../data/formatted/correct_codes/House Robber II.java,../data/formatted/debugged_GPTBuggyCodes_f_c/House Robber II.java,House Robber II,,,,,0.9209218557365415,0.9252317793326627,0.004309923596121146
Insert Delete GetRandom O(1) - Duplicates allowed,../data/formatted/buggy_codes_GPT/Insert Delete GetRandom O(1) - Duplicates allowed.java,../data/formatted/correct_codes/Insert Delete GetRandom O(1) - Duplicates allowed.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Insert Delete GetRandom O(1) - Duplicates allowed.java,Insert Delete GetRandom O(1) - Duplicates allowed,,,,,0.8581873875396799,0.0,-0.8581873875396799
Insert into a Binary Search Tree,../data/formatted/buggy_codes_GPT/Insert into a Binary Search Tree.java,../data/formatted/correct_codes/Insert into a Binary Search Tree.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Insert into a Binary Search Tree.java,Insert into a Binary Search Tree,,,,,0.8901875116120972,0.8146891049976621,-0.07549840661443508
Intersection of Two Arrays II,../data/formatted/buggy_codes_GPT/Intersection of Two Arrays II.java,../data/formatted/correct_codes/Intersection of Two Arrays II.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Intersection of Two Arrays II.java,Intersection of Two Arrays II,,,,,0.878641632425406,0.897679273167437,0.01903764074203096
Island Perimeter,../data/formatted/buggy_codes_GPT/Island Perimeter.java,../data/formatted/correct_codes/Island Perimeter.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Island Perimeter.java,Island Perimeter,,,,,0.7860688081354069,0.7767342050464615,-0.009334603088945403
K-diff Pairs in an Array,../data/formatted/buggy_codes_GPT/K-diff Pairs in an Array.java,../data/formatted/correct_codes/K-diff Pairs in an Array.java,../data/formatted/debugged_GPTBuggyCodes_f_c/K-diff Pairs in an Array.java,K-diff Pairs in an Array,,,,,0.8970086478231005,0.9010706885787833,0.004062040755682728
Kids With the Greatest Number of Candies,../data/formatted/buggy_codes_GPT/Kids With the Greatest Number of Candies.java,../data/formatted/correct_codes/Kids With the Greatest Number of Candies.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Kids With the Greatest Number of Candies.java,Kids With the Greatest Number of Candies,,,,,0.8914882546695847,0.5941465325420502,-0.2973417221275345
Koko Eating Bananas,../data/formatted/buggy_codes_GPT/Koko Eating Bananas.java,../data/formatted/correct_codes/Koko Eating Bananas.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Koko Eating Bananas.java,Koko Eating Bananas,,,,,0.9462829214066708,0.9164813559969607,-0.02980156540971013
Kth Ancestor of a Tree Node,../data/formatted/buggy_codes_GPT/Kth Ancestor of a Tree Node.java,../data/formatted/correct_codes/Kth Ancestor of a Tree Node.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Kth Ancestor of a Tree Node.java,Kth Ancestor of a Tree Node,,,,,0.8926045460202079,0.8926045460202079,0.0
Largest Component Size by Common Factor,../data/formatted/buggy_codes_GPT/Largest Component Size by Common Factor.java,../data/formatted/correct_codes/Largest Component Size by Common Factor.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Largest Component Size by Common Factor.java,Largest Component Size by Common Factor,,,,,0.8972087437136125,0.6601153808348877,-0.23709336287872473
Largest Merge Of Two Strings,../data/formatted/buggy_codes_GPT/Largest Merge Of Two Strings.java,../data/formatted/correct_codes/Largest Merge Of Two Strings.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Largest Merge Of Two Strings.java,Largest Merge Of Two Strings,,,,,0.4886282000539217,0.7714686141315265,0.28284041407760474
Latest Time by Replacing Hidden Digits,../data/formatted/buggy_codes_GPT/Latest Time by Replacing Hidden Digits.java,../data/formatted/correct_codes/Latest Time by Replacing Hidden Digits.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Latest Time by Replacing Hidden Digits.java,Latest Time by Replacing Hidden Digits,,,,,0.9313474103215393,0.953105886922269,0.021758476600729715
Length of Last Word,../data/formatted/buggy_codes_GPT/Length of Last Word.java,../data/formatted/correct_codes/Length of Last Word.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Length of Last Word.java,Length of Last Word,,,,,0.9068779997133536,0.8822975277920413,-0.024580471921312297
