problem_name,bug_path,correct_path,debugged_path,bug_type,test_case_total,score_bug,score_debugged,message_bug,message_debugged,difference
Sort the Matrix Diagonally,../../data/formatted/buggy_codes\Sort the Matrix Diagonally_index.java,../../data/formatted/correct_codes\Sort the Matrix Diagonally.java,../../data/formatted/debugged_codes_0_n\Sort the Matrix Diagonally_index.java,index,15,0.13333333333333333,0,Wrong Answer,Accepted,-0.13333333333333333
Max Difference You Can Get From Changing an Integer,../../data/formatted/buggy_codes\Max Difference You Can Get From Changing an Integer_index.java,../../data/formatted/correct_codes\Max Difference You Can Get From Changing an Integer.java,../../data/formatted/debugged_codes_0_n\Max Difference You Can Get From Changing an Integer_index.java,index,211,0.0,0.0,Wrong Answer,Wrong Answer,0.0
Determine if Two Strings Are Close,../../data/formatted/buggy_codes\Determine if Two Strings Are Close_character.java,../../data/formatted/correct_codes\Determine if Two Strings Are Close.java,../../data/formatted/debugged_codes_0_n\Determine if Two Strings Are Close_character.java,character,1,0,0,Compile Error,Accepted,0
Longest Chunked Palindrome Decomposition,../../data/formatted/buggy_codes\Longest Chunked Palindrome Decomposition_value.java,../../data/formatted/correct_codes\Longest Chunked Palindrome Decomposition.java,../../data/formatted/debugged_codes_0_n\Longest Chunked Palindrome Decomposition_value.java,value,84,0.2857142857142857,0.2857142857142857,Wrong Answer,Wrong Answer,0.0
Find the Middle Index in Array,../../data/formatted/buggy_codes\Find the Middle Index in Array_character.java,../../data/formatted/correct_codes\Find the Middle Index in Array.java,../../data/formatted/debugged_codes_0_n\Find the Middle Index in Array_character.java,character,1,0,0,Compile Error,Accepted,0
Stream of Characters,../../data/formatted/buggy_codes\Stream of Characters_condition.java,../../data/formatted/correct_codes\Stream of Characters.java,../../data/formatted/debugged_codes_0_n\Stream of Characters_condition.java,condition,18,0.3333333333333333,0,Wrong Answer,Accepted,-0.3333333333333333
Set Matrix Zeroes,../../data/formatted/buggy_codes\Set Matrix Zeroes_nobug.java,../../data/formatted/correct_codes\Set Matrix Zeroes.java,../../data/formatted/debugged_codes_0_n\Set Matrix Zeroes_nobug.java,nobug,1,0,0,Accepted,Accepted,0
Rotate Array,../../data/formatted/buggy_codes\Rotate Array_condition.java,../../data/formatted/correct_codes\Rotate Array.java,../../data/formatted/debugged_codes_0_n\Rotate Array_condition.java,condition,38,0.0,0.10526315789473684,Wrong Answer,Runtime Error,0.10526315789473684
Valid Anagram,../../data/formatted/buggy_codes\Valid Anagram_index.java,../../data/formatted/correct_codes\Valid Anagram.java,../../data/formatted/debugged_codes_0_n\Valid Anagram_index.java,index,42,0.7857142857142857,0,Wrong Answer,Accepted,-0.7857142857142857
Minimum Garden Perimeter to Collect Enough Apples,../../data/formatted/buggy_codes\Minimum Garden Perimeter to Collect Enough Apples_value.java,../../data/formatted/correct_codes\Minimum Garden Perimeter to Collect Enough Apples.java,../../data/formatted/debugged_codes_0_n\Minimum Garden Perimeter to Collect Enough Apples_value.java,value,1,0,0,Accepted,Accepted,0
4Sum,../../data/formatted/buggy_codes\4Sum_value.java,../../data/formatted/correct_codes\4Sum.java,../../data/formatted/debugged_codes_0_n\4Sum_value.java,value,1,0,0,Accepted,Accepted,0
Evaluate the Bracket Pairs of a String,../../data/formatted/buggy_codes\Evaluate the Bracket Pairs of a String_nobug.java,../../data/formatted/correct_codes\Evaluate the Bracket Pairs of a String.java,../../data/formatted/debugged_codes_0_n\Evaluate the Bracket Pairs of a String_nobug.java,nobug,1,0,0,Accepted,Accepted,0
Construct Target Array With Multiple Sums,../../data/formatted/buggy_codes\Construct Target Array With Multiple Sums_character.java,../../data/formatted/correct_codes\Construct Target Array With Multiple Sums.java,../../data/formatted/debugged_codes_0_n\Construct Target Array With Multiple Sums_character.java,character,0,0,0,Compile Error,Compile Error,0
Minimum Adjacent Swaps to Reach the Kth Smallest Number,../../data/formatted/buggy_codes\Minimum Adjacent Swaps to Reach the Kth Smallest Number_character.java,../../data/formatted/correct_codes\Minimum Adjacent Swaps to Reach the Kth Smallest Number.java,../../data/formatted/debugged_codes_0_n\Minimum Adjacent Swaps to Reach the Kth Smallest Number_character.java,character,1,0,0,Compile Error,Accepted,0
Tree of Coprimes,../../data/formatted/buggy_codes\Tree of Coprimes_character.java,../../data/formatted/correct_codes\Tree of Coprimes.java,../../data/formatted/debugged_codes_0_n\Tree of Coprimes_character.java,character,0,0,0,Compile Error,Compile Error,0
Minimum Cost to Change the Final Value of Expression,../../data/formatted/buggy_codes\Minimum Cost to Change the Final Value of Expression_character.java,../../data/formatted/correct_codes\Minimum Cost to Change the Final Value of Expression.java,../../data/formatted/debugged_codes_0_n\Minimum Cost to Change the Final Value of Expression_character.java,character,0,0,0,Compile Error,Compile Error,0
Count Good Nodes in Binary Tree,../../data/formatted/buggy_codes\Count Good Nodes in Binary Tree_character.java,../../data/formatted/correct_codes\Count Good Nodes in Binary Tree.java,../../data/formatted/debugged_codes_0_n\Count Good Nodes in Binary Tree_character.java,character,0,0,0,Compile Error,Compile Error,0
Shortest Cycle in a Graph,../../data/formatted/buggy_codes\Shortest Cycle in a Graph_value.java,../../data/formatted/correct_codes\Shortest Cycle in a Graph.java,../../data/formatted/debugged_codes_0_n\Shortest Cycle in a Graph_value.java,value,1,0,0,Accepted,Accepted,0
Remove Stones to Minimize the Total,../../data/formatted/buggy_codes\Remove Stones to Minimize the Total_character.java,../../data/formatted/correct_codes\Remove Stones to Minimize the Total.java,../../data/formatted/debugged_codes_0_n\Remove Stones to Minimize the Total_character.java,character,1,0,0,Compile Error,Accepted,0
Jump Game V,../../data/formatted/buggy_codes\Jump Game V_value.java,../../data/formatted/correct_codes\Jump Game V.java,../../data/formatted/debugged_codes_0_n\Jump Game V_value.java,value,127,0.015748031496062992,0.015748031496062992,Wrong Answer,Wrong Answer,0.0
Largest Component Size by Common Factor,../../data/formatted/buggy_codes\Largest Component Size by Common Factor_index.java,../../data/formatted/correct_codes\Largest Component Size by Common Factor.java,../../data/formatted/debugged_codes_0_n\Largest Component Size by Common Factor_index.java,index,1,0,0,Accepted,Compile Error,0
Count Odd Numbers in an Interval Range,../../data/formatted/buggy_codes\Count Odd Numbers in an Interval Range_nobug.java,../../data/formatted/correct_codes\Count Odd Numbers in an Interval Range.java,../../data/formatted/debugged_codes_0_n\Count Odd Numbers in an Interval Range_nobug.java,nobug,1,0,0,Accepted,Accepted,0
Student Attendance Record II,../../data/formatted/buggy_codes\Student Attendance Record II_value.java,../../data/formatted/correct_codes\Student Attendance Record II.java,../../data/formatted/debugged_codes_0_n\Student Attendance Record II_value.java,value,59,0.01694915254237288,0,Wrong Answer,Accepted,-0.01694915254237288
Watering Plants II,../../data/formatted/buggy_codes\Watering Plants II_index.java,../../data/formatted/correct_codes\Watering Plants II.java,../../data/formatted/debugged_codes_0_n\Watering Plants II_index.java,index,57,0.0,0.0,Runtime Error,Runtime Error,0.0
Task Scheduler II,../../data/formatted/buggy_codes\Task Scheduler II_operation.java,../../data/formatted/correct_codes\Task Scheduler II.java,../../data/formatted/debugged_codes_0_n\Task Scheduler II_operation.java,operation,61,0.06557377049180328,0.0,Wrong Answer,Wrong Answer,-0.06557377049180328
Prime Palindrome,../../data/formatted/buggy_codes\Prime Palindrome_character.java,../../data/formatted/correct_codes\Prime Palindrome.java,../../data/formatted/debugged_codes_0_n\Prime Palindrome_character.java,character,61,0,0.8360655737704918,Compile Error,Time Limit Exceeded,0.8360655737704918
Decode the Message,../../data/formatted/buggy_codes\Decode the Message_condition.java,../../data/formatted/correct_codes\Decode the Message.java,../../data/formatted/debugged_codes_0_n\Decode the Message_condition.java,condition,69,0.07246376811594203,0,Wrong Answer,Accepted,-0.07246376811594203
Maximum XOR of Two Numbers in an Array,../../data/formatted/buggy_codes\Maximum XOR of Two Numbers in an Array_index.java,../../data/formatted/correct_codes\Maximum XOR of Two Numbers in an Array.java,../../data/formatted/debugged_codes_0_n\Maximum XOR of Two Numbers in an Array_index.java,index,0,0,0,Compile Error,Compile Error,0
Check if All the Integers in a Range Are Covered,../../data/formatted/buggy_codes\Check if All the Integers in a Range Are Covered_character.java,../../data/formatted/correct_codes\Check if All the Integers in a Range Are Covered.java,../../data/formatted/debugged_codes_0_n\Check if All the Integers in a Range Are Covered_character.java,character,1,0,0,Compile Error,Accepted,0
Minimum Average Difference,../../data/formatted/buggy_codes\Minimum Average Difference_character.java,../../data/formatted/correct_codes\Minimum Average Difference.java,../../data/formatted/debugged_codes_0_n\Minimum Average Difference_character.java,character,1,0,0,Compile Error,Accepted,0
Number of Submatrices That Sum to Target,../../data/formatted/buggy_codes\Number of Submatrices That Sum to Target_character.java,../../data/formatted/correct_codes\Number of Submatrices That Sum to Target.java,../../data/formatted/debugged_codes_0_n\Number of Submatrices That Sum to Target_character.java,character,1,0,0,Compile Error,Accepted,0
