problem_name,bug_path,correct_path,debugged_path,bug_type,test_case_total,score_bug,score_debugged,message_bug,message_debugged,difference
Longest Increasing Subsequence,../../data/formatted/buggy_codes\Longest Increasing Subsequence_character.java,../../data/formatted/correct_codes\Longest Increasing Subsequence.java,../../data/formatted/debugged_codes_0_n\Longest Increasing Subsequence_character.java,character,0,0,1,Compile Error,Accepted,1
Construct Binary Tree from Preorder and Postorder Traversal,../../data/formatted/buggy_codes\Construct Binary Tree from Preorder and Postorder Traversal_condition.java,../../data/formatted/correct_codes\Construct Binary Tree from Preorder and Postorder Traversal.java,../../data/formatted/debugged_codes_0_n\Construct Binary Tree from Preorder and Postorder Traversal_condition.java,condition,306,1,1,Wrong Answer,Accepted,0
Delete Nodes And Return Forest,../../data/formatted/buggy_codes\Delete Nodes And Return Forest_character.java,../../data/formatted/correct_codes\Delete Nodes And Return Forest.java,../../data/formatted/debugged_codes_0_n\Delete Nodes And Return Forest_character.java,character,0,0,0,Compile Error,Compile Error,0
Keep Multiplying Found Values by Two,../../data/formatted/buggy_codes\Keep Multiplying Found Values by Two_condition.java,../../data/formatted/correct_codes\Keep Multiplying Found Values by Two.java,../../data/formatted/debugged_codes_0_n\Keep Multiplying Found Values by Two_condition.java,condition,81,18,18,Wrong Answer,Wrong Answer,0
Count Ways to Group Overlapping Ranges,../../data/formatted/buggy_codes\Count Ways to Group Overlapping Ranges_index.java,../../data/formatted/correct_codes\Count Ways to Group Overlapping Ranges.java,../../data/formatted/debugged_codes_0_n\Count Ways to Group Overlapping Ranges_index.java,index,32,0,1,Runtime Error,Accepted,1
Count Integers With Even Digit Sum,../../data/formatted/buggy_codes\Count Integers With Even Digit Sum_nobug.java,../../data/formatted/correct_codes\Count Integers With Even Digit Sum.java,../../data/formatted/debugged_codes_0_n\Count Integers With Even Digit Sum_nobug.java,nobug,1,1,1,Accepted,Accepted,0
Battleships in a Board,../../data/formatted/buggy_codes\Battleships in a Board_condition.java,../../data/formatted/correct_codes\Battleships in a Board.java,../../data/formatted/debugged_codes_0_n\Battleships in a Board_condition.java,condition,27,0,1,Runtime Error,Accepted,1
Number of Ways to Wear Different Hats to Each Other,../../data/formatted/buggy_codes\Number of Ways to Wear Different Hats to Each Other_index.java,../../data/formatted/correct_codes\Number of Ways to Wear Different Hats to Each Other.java,../../data/formatted/debugged_codes_0_n\Number of Ways to Wear Different Hats to Each Other_index.java,index,0,0,1,Compile Error,Accepted,1
Get Maximum in Generated Array,../../data/formatted/buggy_codes\Get Maximum in Generated Array_nobug.java,../../data/formatted/correct_codes\Get Maximum in Generated Array.java,../../data/formatted/debugged_codes_0_n\Get Maximum in Generated Array_nobug.java,nobug,1,1,1,Accepted,Accepted,0
Number of Sets of K Non-Overlapping Line Segments,../../data/formatted/buggy_codes\Number of Sets of K Non-Overlapping Line Segments_operation.java,../../data/formatted/correct_codes\Number of Sets of K Non-Overlapping Line Segments.java,../../data/formatted/debugged_codes_0_n\Number of Sets of K Non-Overlapping Line Segments_operation.java,operation,68,0,0,Wrong Answer,Wrong Answer,0
Valid Sudoku,../../data/formatted/buggy_codes\Valid Sudoku_nobug.java,../../data/formatted/correct_codes\Valid Sudoku.java,../../data/formatted/debugged_codes_0_n\Valid Sudoku_nobug.java,nobug,0,0,0,Compile Error,Compile Error,0
Binary Prefix Divisible By 5,../../data/formatted/buggy_codes\Binary Prefix Divisible By 5_operation.java,../../data/formatted/correct_codes\Binary Prefix Divisible By 5.java,../../data/formatted/debugged_codes_0_n\Binary Prefix Divisible By 5_operation.java,operation,24,2,1,Wrong Answer,Accepted,-1
Split Array into Fibonacci Sequence,../../data/formatted/buggy_codes\Split Array into Fibonacci Sequence_nobug.java,../../data/formatted/correct_codes\Split Array into Fibonacci Sequence.java,../../data/formatted/debugged_codes_0_n\Split Array into Fibonacci Sequence_nobug.java,nobug,1,1.0,1.0,Accepted,Accepted,0.0
Minimum Cost to Reach Destination in Time,../../data/formatted/buggy_codes\Minimum Cost to Reach Destination in Time_character.java,../../data/formatted/correct_codes\Minimum Cost to Reach Destination in Time.java,../../data/formatted/debugged_codes_0_n\Minimum Cost to Reach Destination in Time_character.java,character,0,0.0,0.0,Compile Error,Compile Error,0.0
Jump Game IV,../../data/formatted/buggy_codes\Jump Game IV_index.java,../../data/formatted/correct_codes\Jump Game IV.java,../../data/formatted/debugged_codes_0_n\Jump Game IV_index.java,index,1,1.0,0.0,Accepted,Compile Error,-1.0
Detect Capital,../../data/formatted/buggy_codes\Detect Capital_condition.java,../../data/formatted/correct_codes\Detect Capital.java,../../data/formatted/debugged_codes_0_n\Detect Capital_condition.java,condition,551,0.047186932849364795,0.02722323049001815,Wrong Answer,Wrong Answer,-0.019963702359346646
Count Nodes With the Highest Score,../../data/formatted/buggy_codes\Count Nodes With the Highest Score_operation.java,../../data/formatted/correct_codes\Count Nodes With the Highest Score.java,../../data/formatted/debugged_codes_0_n\Count Nodes With the Highest Score_operation.java,operation,206,0.8058252427184466,1.0,Wrong Answer,Accepted,0.19417475728155342
Remove Comments,../../data/formatted/buggy_codes\Remove Comments_operation.java,../../data/formatted/correct_codes\Remove Comments.java,../../data/formatted/debugged_codes_0_n\Remove Comments_operation.java,operation,55,0.36363636363636365,1.0,Wrong Answer,Accepted,0.6363636363636364
Maximum White Tiles Covered by a Carpet,../../data/formatted/buggy_codes\Maximum White Tiles Covered by a Carpet_value.java,../../data/formatted/correct_codes\Maximum White Tiles Covered by a Carpet.java,../../data/formatted/debugged_codes_0_n\Maximum White Tiles Covered by a Carpet_value.java,value,51,0.0,0.0,Runtime Error,Runtime Error,0.0
Best Time to Buy and Sell Stock with Transaction Fee,../../data/formatted/buggy_codes\Best Time to Buy and Sell Stock with Transaction Fee_character.java,../../data/formatted/correct_codes\Best Time to Buy and Sell Stock with Transaction Fee.java,../../data/formatted/debugged_codes_0_n\Best Time to Buy and Sell Stock with Transaction Fee_character.java,character,0,0.0,0.25,Compile Error,Wrong Answer,0.25
Minimize Deviation in Array,../../data/formatted/buggy_codes\Minimize Deviation in Array_nobug.java,../../data/formatted/correct_codes\Minimize Deviation in Array.java,../../data/formatted/debugged_codes_0_n\Minimize Deviation in Array_nobug.java,nobug,1,1.0,1.0,Accepted,Accepted,0.0
Maximum Depth of Binary Tree,../../data/formatted/buggy_codes\Maximum Depth of Binary Tree_value.java,../../data/formatted/correct_codes\Maximum Depth of Binary Tree.java,../../data/formatted/debugged_codes_0_n\Maximum Depth of Binary Tree_value.java,value,39,0.0,1.0,Wrong Answer,Accepted,1.0
Stone Game V,../../data/formatted/buggy_codes\Stone Game V_operation.java,../../data/formatted/correct_codes\Stone Game V.java,../../data/formatted/debugged_codes_0_n\Stone Game V_operation.java,operation,132,0.9545454545454546,1.0,Wrong Answer,Accepted,0.045454545454545414
Possible Bipartition,../../data/formatted/buggy_codes\Possible Bipartition_condition.java,../../data/formatted/correct_codes\Possible Bipartition.java,../../data/formatted/debugged_codes_0_n\Possible Bipartition_condition.java,condition,74,0.02702702702702703,1.0,Wrong Answer,Accepted,0.972972972972973
Plates Between Candles,../../data/formatted/buggy_codes\Plates Between Candles_operation.java,../../data/formatted/correct_codes\Plates Between Candles.java,../../data/formatted/debugged_codes_0_n\Plates Between Candles_operation.java,operation,36,0.2222222222222222,0.3055555555555556,Wrong Answer,Wrong Answer,0.08333333333333337
Find the Minimum Number of Fibonacci Numbers Whose Sum Is K,../../data/formatted/buggy_codes\Find the Minimum Number of Fibonacci Numbers Whose Sum Is K_operation.java,../../data/formatted/correct_codes\Find the Minimum Number of Fibonacci Numbers Whose Sum Is K.java,../../data/formatted/debugged_codes_0_n\Find the Minimum Number of Fibonacci Numbers Whose Sum Is K_operation.java,operation,504,0.0,1.0,Wrong Answer,Accepted,1.0
Get Biggest Three Rhombus Sums in a Grid,../../data/formatted/buggy_codes\Get Biggest Three Rhombus Sums in a Grid_index.java,../../data/formatted/correct_codes\Get Biggest Three Rhombus Sums in a Grid.java,../../data/formatted/debugged_codes_0_n\Get Biggest Three Rhombus Sums in a Grid_index.java,index,0,0.0,0.0,Compile Error,Compile Error,0.0
Minimum Remove to Make Valid Parentheses,../../data/formatted/buggy_codes\Minimum Remove to Make Valid Parentheses_condition.java,../../data/formatted/correct_codes\Minimum Remove to Make Valid Parentheses.java,../../data/formatted/debugged_codes_0_n\Minimum Remove to Make Valid Parentheses_condition.java,condition,62,0.06451612903225806,0.06451612903225806,Wrong Answer,Wrong Answer,0.0
Single Number II,../../data/formatted/buggy_codes\Single Number II_index.java,../../data/formatted/correct_codes\Single Number II.java,../../data/formatted/debugged_codes_0_n\Single Number II_index.java,index,0,0.0,1.0,Compile Error,Accepted,1.0
Number of Squareful Arrays,../../data/formatted/buggy_codes\Number of Squareful Arrays_character.java,../../data/formatted/correct_codes\Number of Squareful Arrays.java,../../data/formatted/debugged_codes_0_n\Number of Squareful Arrays_character.java,character,0,0.0,1.0,Compile Error,Accepted,1.0
Subarray Sum Equals K,../../data/formatted/buggy_codes\Subarray Sum Equals K_index.java,../../data/formatted/correct_codes\Subarray Sum Equals K.java,../../data/formatted/debugged_codes_0_n\Subarray Sum Equals K_index.java,index,93,0.010752688172043012,1.0,Runtime Error,Accepted,0.989247311827957
Divide Array Into Equal Pairs,../../data/formatted/buggy_codes\Divide Array Into Equal Pairs_value.java,../../data/formatted/correct_codes\Divide Array Into Equal Pairs.java,../../data/formatted/debugged_codes_0_n\Divide Array Into Equal Pairs_value.java,value,1,1.0,1.0,Accepted,Accepted,0.0
Stamping The Sequence,../../data/formatted/buggy_codes\Stamping The Sequence_value.java,../../data/formatted/correct_codes\Stamping The Sequence.java,../../data/formatted/debugged_codes_0_n\Stamping The Sequence_value.java,value,262,0.0,0.0,Runtime Error,Compile Error,0.0
Design Authentication Manager,../../data/formatted/buggy_codes\Design Authentication Manager_nobug.java,../../data/formatted/correct_codes\Design Authentication Manager.java,../../data/formatted/debugged_codes_0_n\Design Authentication Manager_nobug.java,nobug,1,1.0,1.0,Accepted,Accepted,0.0
Minimum Number of Refueling Stops,../../data/formatted/buggy_codes\Minimum Number of Refueling Stops_value.java,../../data/formatted/correct_codes\Minimum Number of Refueling Stops.java,../../data/formatted/debugged_codes_0_n\Minimum Number of Refueling Stops_value.java,value,198,0.2878787878787879,1.0,Wrong Answer,Accepted,0.7121212121212122
Max Consecutive Ones,../../data/formatted/buggy_codes\Max Consecutive Ones_index.java,../../data/formatted/correct_codes\Max Consecutive Ones.java,../../data/formatted/debugged_codes_0_n\Max Consecutive Ones_index.java,index,42,0.0,1.0,Runtime Error,Accepted,1.0
Minimum Number of Moves to Seat Everyone,../../data/formatted/buggy_codes\Minimum Number of Moves to Seat Everyone_index.java,../../data/formatted/correct_codes\Minimum Number of Moves to Seat Everyone.java,../../data/formatted/debugged_codes_0_n\Minimum Number of Moves to Seat Everyone_index.java,index,262,0.0,0.0,Runtime Error,Runtime Error,0.0
Minimum Score Triangulation of Polygon,../../data/formatted/buggy_codes\Minimum Score Triangulation of Polygon_index.java,../../data/formatted/correct_codes\Minimum Score Triangulation of Polygon.java,../../data/formatted/debugged_codes_0_n\Minimum Score Triangulation of Polygon_index.java,index,0,0,1.0,Compile Error,Accepted,1.0
Count Pairs Of Nodes,../../data/formatted/buggy_codes\Count Pairs Of Nodes_nobug.java,../../data/formatted/correct_codes\Count Pairs Of Nodes.java,../../data/formatted/debugged_codes_0_n\Count Pairs Of Nodes_nobug.java,nobug,1,1.0,1.0,Accepted,Accepted,0.0
Minimum Lines to Represent a Line Chart,../../data/formatted/buggy_codes\Minimum Lines to Represent a Line Chart_condition.java,../../data/formatted/correct_codes\Minimum Lines to Represent a Line Chart.java,../../data/formatted/debugged_codes_0_n\Minimum Lines to Represent a Line Chart_condition.java,condition,82,0.0,1.0,Wrong Answer,Accepted,1.0
Move Zeroes,../../data/formatted/buggy_codes\Move Zeroes_condition.java,../../data/formatted/correct_codes\Move Zeroes.java,../../data/formatted/debugged_codes_0_n\Move Zeroes_condition.java,condition,74,0.12162162162162163,1.0,Wrong Answer,Accepted,0.8783783783783784
Count Number of Bad Pairs,../../data/formatted/buggy_codes\Count Number of Bad Pairs_index.java,../../data/formatted/correct_codes\Count Number of Bad Pairs.java,../../data/formatted/debugged_codes_0_n\Count Number of Bad Pairs_index.java,index,0,0,1.0,Compile Error,Accepted,1.0
Find Lucky Integer in an Array,../../data/formatted/buggy_codes\Find Lucky Integer in an Array_nobug.java,../../data/formatted/correct_codes\Find Lucky Integer in an Array.java,../../data/formatted/debugged_codes_0_n\Find Lucky Integer in an Array_nobug.java,nobug,1,1.0,1.0,Accepted,Accepted,0.0
Minimum Sum of Four Digit Number After Splitting Digits,../../data/formatted/buggy_codes\Minimum Sum of Four Digit Number After Splitting Digits_operation.java,../../data/formatted/correct_codes\Minimum Sum of Four Digit Number After Splitting Digits.java,../../data/formatted/debugged_codes_0_n\Minimum Sum of Four Digit Number After Splitting Digits_operation.java,operation,99,0.37373737373737376,1.0,Wrong Answer,Accepted,0.6262626262626263
Base 7,../../data/formatted/buggy_codes\Base 7_nobug.java,../../data/formatted/correct_codes\Base 7.java,../../data/formatted/debugged_codes_0_n\Base 7_nobug.java,nobug,1,0,0,Accepted,Accepted,0
Permutation Sequence,../../data/formatted/buggy_codes\Permutation Sequence_nobug.java,../../data/formatted/correct_codes\Permutation Sequence.java,../../data/formatted/debugged_codes_0_n\Permutation Sequence_nobug.java,nobug,200,0,0.03,Accepted,Wrong Answer,0.03
Binary Search Tree Iterator,../../data/formatted/buggy_codes\Binary Search Tree Iterator_nobug.java,../../data/formatted/correct_codes\Binary Search Tree Iterator.java,../../data/formatted/debugged_codes_0_n\Binary Search Tree Iterator_nobug.java,nobug,1,0,0,Accepted,Accepted,0
Shuffle String,../../data/formatted/buggy_codes\Shuffle String_value.java,../../data/formatted/correct_codes\Shuffle String.java,../../data/formatted/debugged_codes_0_n\Shuffle String_value.java,value,1,0,0,Accepted,Accepted,0
Count Unguarded Cells in the Grid,../../data/formatted/buggy_codes\Count Unguarded Cells in the Grid_nobug.java,../../data/formatted/correct_codes\Count Unguarded Cells in the Grid.java,../../data/formatted/debugged_codes_0_n\Count Unguarded Cells in the Grid_nobug.java,nobug,48,0,0.3333333333333333,Accepted,Wrong Answer,0.3333333333333333
Daily Temperatures,../../data/formatted/buggy_codes\Daily Temperatures_index.java,../../data/formatted/correct_codes\Daily Temperatures.java,../../data/formatted/debugged_codes_0_n\Daily Temperatures_index.java,index,1,0,0,Compile Error,Accepted,0
Pascal's Triangle II,../../data/formatted/buggy_codes\Pascal's Triangle II_condition.java,../../data/formatted/correct_codes\Pascal's Triangle II.java,../../data/formatted/debugged_codes_0_n\Pascal's Triangle II_condition.java,condition,34,0.0,0,Runtime Error,Accepted,0.0
Letter Tile Possibilities,../../data/formatted/buggy_codes\Letter Tile Possibilities_character.java,../../data/formatted/correct_codes\Letter Tile Possibilities.java,../../data/formatted/debugged_codes_0_n\Letter Tile Possibilities_character.java,character,1,0,0,Compile Error,Accepted,0
Find the Winner of an Array Game,../../data/formatted/buggy_codes\Find the Winner of an Array Game_value.java,../../data/formatted/correct_codes\Find the Winner of an Array Game.java,../../data/formatted/debugged_codes_0_n\Find the Winner of an Array Game_value.java,value,185,0.7351351351351352,0,Wrong Answer,Accepted,-0.7351351351351352
Check If Two String Arrays are Equivalent,../../data/formatted/buggy_codes\Check If Two String Arrays are Equivalent_nobug.java,../../data/formatted/correct_codes\Check If Two String Arrays are Equivalent.java,../../data/formatted/debugged_codes_0_n\Check If Two String Arrays are Equivalent_nobug.java,nobug,1,0,0,Accepted,Accepted,0
Sort the Matrix Diagonally,../../data/formatted/buggy_codes\Sort the Matrix Diagonally_index.java,../../data/formatted/correct_codes\Sort the Matrix Diagonally.java,../../data/formatted/debugged_codes_0_n\Sort the Matrix Diagonally_index.java,index,15,0.13333333333333333,0,Wrong Answer,Accepted,-0.13333333333333333
Max Difference You Can Get From Changing an Integer,../../data/formatted/buggy_codes\Max Difference You Can Get From Changing an Integer_index.java,../../data/formatted/correct_codes\Max Difference You Can Get From Changing an Integer.java,../../data/formatted/debugged_codes_0_n\Max Difference You Can Get From Changing an Integer_index.java,index,211,0.0,0.0,Wrong Answer,Wrong Answer,0.0
Determine if Two Strings Are Close,../../data/formatted/buggy_codes\Determine if Two Strings Are Close_character.java,../../data/formatted/correct_codes\Determine if Two Strings Are Close.java,../../data/formatted/debugged_codes_0_n\Determine if Two Strings Are Close_character.java,character,1,0,0,Compile Error,Accepted,0
Longest Chunked Palindrome Decomposition,../../data/formatted/buggy_codes\Longest Chunked Palindrome Decomposition_value.java,../../data/formatted/correct_codes\Longest Chunked Palindrome Decomposition.java,../../data/formatted/debugged_codes_0_n\Longest Chunked Palindrome Decomposition_value.java,value,84,0.2857142857142857,0.2857142857142857,Wrong Answer,Wrong Answer,0.0
Find the Middle Index in Array,../../data/formatted/buggy_codes\Find the Middle Index in Array_character.java,../../data/formatted/correct_codes\Find the Middle Index in Array.java,../../data/formatted/debugged_codes_0_n\Find the Middle Index in Array_character.java,character,1,0,0,Compile Error,Accepted,0
Stream of Characters,../../data/formatted/buggy_codes\Stream of Characters_condition.java,../../data/formatted/correct_codes\Stream of Characters.java,../../data/formatted/debugged_codes_0_n\Stream of Characters_condition.java,condition,18,0.3333333333333333,0,Wrong Answer,Accepted,-0.3333333333333333
Set Matrix Zeroes,../../data/formatted/buggy_codes\Set Matrix Zeroes_nobug.java,../../data/formatted/correct_codes\Set Matrix Zeroes.java,../../data/formatted/debugged_codes_0_n\Set Matrix Zeroes_nobug.java,nobug,1,0,0,Accepted,Accepted,0
Rotate Array,../../data/formatted/buggy_codes\Rotate Array_condition.java,../../data/formatted/correct_codes\Rotate Array.java,../../data/formatted/debugged_codes_0_n\Rotate Array_condition.java,condition,38,0.0,0.10526315789473684,Wrong Answer,Runtime Error,0.10526315789473684
Valid Anagram,../../data/formatted/buggy_codes\Valid Anagram_index.java,../../data/formatted/correct_codes\Valid Anagram.java,../../data/formatted/debugged_codes_0_n\Valid Anagram_index.java,index,42,0.7857142857142857,0,Wrong Answer,Accepted,-0.7857142857142857
Minimum Garden Perimeter to Collect Enough Apples,../../data/formatted/buggy_codes\Minimum Garden Perimeter to Collect Enough Apples_value.java,../../data/formatted/correct_codes\Minimum Garden Perimeter to Collect Enough Apples.java,../../data/formatted/debugged_codes_0_n\Minimum Garden Perimeter to Collect Enough Apples_value.java,value,1,0,0,Accepted,Accepted,0
4Sum,../../data/formatted/buggy_codes\4Sum_value.java,../../data/formatted/correct_codes\4Sum.java,../../data/formatted/debugged_codes_0_n\4Sum_value.java,value,1,0,0,Accepted,Accepted,0
Evaluate the Bracket Pairs of a String,../../data/formatted/buggy_codes\Evaluate the Bracket Pairs of a String_nobug.java,../../data/formatted/correct_codes\Evaluate the Bracket Pairs of a String.java,../../data/formatted/debugged_codes_0_n\Evaluate the Bracket Pairs of a String_nobug.java,nobug,1,0,0,Accepted,Accepted,0
Construct Target Array With Multiple Sums,../../data/formatted/buggy_codes\Construct Target Array With Multiple Sums_character.java,../../data/formatted/correct_codes\Construct Target Array With Multiple Sums.java,../../data/formatted/debugged_codes_0_n\Construct Target Array With Multiple Sums_character.java,character,0,0,0,Compile Error,Compile Error,0
Minimum Adjacent Swaps to Reach the Kth Smallest Number,../../data/formatted/buggy_codes\Minimum Adjacent Swaps to Reach the Kth Smallest Number_character.java,../../data/formatted/correct_codes\Minimum Adjacent Swaps to Reach the Kth Smallest Number.java,../../data/formatted/debugged_codes_0_n\Minimum Adjacent Swaps to Reach the Kth Smallest Number_character.java,character,1,0,0,Compile Error,Accepted,0
Tree of Coprimes,../../data/formatted/buggy_codes\Tree of Coprimes_character.java,../../data/formatted/correct_codes\Tree of Coprimes.java,../../data/formatted/debugged_codes_0_n\Tree of Coprimes_character.java,character,0,0,0,Compile Error,Compile Error,0
Minimum Cost to Change the Final Value of Expression,../../data/formatted/buggy_codes\Minimum Cost to Change the Final Value of Expression_character.java,../../data/formatted/correct_codes\Minimum Cost to Change the Final Value of Expression.java,../../data/formatted/debugged_codes_0_n\Minimum Cost to Change the Final Value of Expression_character.java,character,0,0,0,Compile Error,Compile Error,0
Count Good Nodes in Binary Tree,../../data/formatted/buggy_codes\Count Good Nodes in Binary Tree_character.java,../../data/formatted/correct_codes\Count Good Nodes in Binary Tree.java,../../data/formatted/debugged_codes_0_n\Count Good Nodes in Binary Tree_character.java,character,0,0,0,Compile Error,Compile Error,0
Shortest Cycle in a Graph,../../data/formatted/buggy_codes\Shortest Cycle in a Graph_value.java,../../data/formatted/correct_codes\Shortest Cycle in a Graph.java,../../data/formatted/debugged_codes_0_n\Shortest Cycle in a Graph_value.java,value,1,0,0,Accepted,Accepted,0
Remove Stones to Minimize the Total,../../data/formatted/buggy_codes\Remove Stones to Minimize the Total_character.java,../../data/formatted/correct_codes\Remove Stones to Minimize the Total.java,../../data/formatted/debugged_codes_0_n\Remove Stones to Minimize the Total_character.java,character,1,0,0,Compile Error,Accepted,0
Jump Game V,../../data/formatted/buggy_codes\Jump Game V_value.java,../../data/formatted/correct_codes\Jump Game V.java,../../data/formatted/debugged_codes_0_n\Jump Game V_value.java,value,127,0.015748031496062992,0.015748031496062992,Wrong Answer,Wrong Answer,0.0
Largest Component Size by Common Factor,../../data/formatted/buggy_codes\Largest Component Size by Common Factor_index.java,../../data/formatted/correct_codes\Largest Component Size by Common Factor.java,../../data/formatted/debugged_codes_0_n\Largest Component Size by Common Factor_index.java,index,1,0,0,Accepted,Compile Error,0
Count Odd Numbers in an Interval Range,../../data/formatted/buggy_codes\Count Odd Numbers in an Interval Range_nobug.java,../../data/formatted/correct_codes\Count Odd Numbers in an Interval Range.java,../../data/formatted/debugged_codes_0_n\Count Odd Numbers in an Interval Range_nobug.java,nobug,1,0,0,Accepted,Accepted,0
Student Attendance Record II,../../data/formatted/buggy_codes\Student Attendance Record II_value.java,../../data/formatted/correct_codes\Student Attendance Record II.java,../../data/formatted/debugged_codes_0_n\Student Attendance Record II_value.java,value,59,0.01694915254237288,0,Wrong Answer,Accepted,-0.01694915254237288
Watering Plants II,../../data/formatted/buggy_codes\Watering Plants II_index.java,../../data/formatted/correct_codes\Watering Plants II.java,../../data/formatted/debugged_codes_0_n\Watering Plants II_index.java,index,57,0.0,0.0,Runtime Error,Runtime Error,0.0
Task Scheduler II,../../data/formatted/buggy_codes\Task Scheduler II_operation.java,../../data/formatted/correct_codes\Task Scheduler II.java,../../data/formatted/debugged_codes_0_n\Task Scheduler II_operation.java,operation,61,0.06557377049180328,0.0,Wrong Answer,Wrong Answer,-0.06557377049180328
Prime Palindrome,../../data/formatted/buggy_codes\Prime Palindrome_character.java,../../data/formatted/correct_codes\Prime Palindrome.java,../../data/formatted/debugged_codes_0_n\Prime Palindrome_character.java,character,61,0,0.8360655737704918,Compile Error,Time Limit Exceeded,0.8360655737704918
Decode the Message,../../data/formatted/buggy_codes\Decode the Message_condition.java,../../data/formatted/correct_codes\Decode the Message.java,../../data/formatted/debugged_codes_0_n\Decode the Message_condition.java,condition,69,0.07246376811594203,0,Wrong Answer,Accepted,-0.07246376811594203
Maximum XOR of Two Numbers in an Array,../../data/formatted/buggy_codes\Maximum XOR of Two Numbers in an Array_index.java,../../data/formatted/correct_codes\Maximum XOR of Two Numbers in an Array.java,../../data/formatted/debugged_codes_0_n\Maximum XOR of Two Numbers in an Array_index.java,index,0,0,0,Compile Error,Compile Error,0
Check if All the Integers in a Range Are Covered,../../data/formatted/buggy_codes\Check if All the Integers in a Range Are Covered_character.java,../../data/formatted/correct_codes\Check if All the Integers in a Range Are Covered.java,../../data/formatted/debugged_codes_0_n\Check if All the Integers in a Range Are Covered_character.java,character,1,0,0,Compile Error,Accepted,0
Minimum Average Difference,../../data/formatted/buggy_codes\Minimum Average Difference_character.java,../../data/formatted/correct_codes\Minimum Average Difference.java,../../data/formatted/debugged_codes_0_n\Minimum Average Difference_character.java,character,1,0,0,Compile Error,Accepted,0
Number of Submatrices That Sum to Target,../../data/formatted/buggy_codes\Number of Submatrices That Sum to Target_character.java,../../data/formatted/correct_codes\Number of Submatrices That Sum to Target.java,../../data/formatted/debugged_codes_0_n\Number of Submatrices That Sum to Target_character.java,character,1,0,0,Compile Error,Accepted,0
